"","X","ID.true","Word","ConcValCombo","Task","BlockOrder","Group","Response","Accuracy","ReactionTime","LogReactionTime"
"2768",2962,"466f214da9cb9877742537da63778bf3","hug","concrete-positive","Concrete","CV","A","concrete",1,636,6.45519856334012
"2769",2963,"466f214da9cb9877742537da63778bf3","smoke","concrete-negative","Concrete","CV","A","concrete",1,601,6.39859493453521
"2770",2964,"466f214da9cb9877742537da63778bf3","beach","concrete-positive","Concrete","CV","A","concrete",1,612,6.41673228251233
"2771",2965,"466f214da9cb9877742537da63778bf3","vomit","concrete-negative","Concrete","CV","A","concrete",1,618,6.42648845745769
"2772",2966,"466f214da9cb9877742537da63778bf3","gratitude","abstract-positive","Concrete","CV","A","abstract",1,846,6.74051935960622
"2773",2967,"466f214da9cb9877742537da63778bf3","hope","abstract-positive","Concrete","CV","A","abstract",1,848,6.7428806357919
"2774",2968,"466f214da9cb9877742537da63778bf3","anxiety","abstract-negative","Concrete","CV","A","abstract",1,928,6.8330317327862
"2775",2970,"466f214da9cb9877742537da63778bf3","despair","abstract-negative","Concrete","CV","A","abstract",1,625,6.4377516497364
"2776",2971,"466f214da9cb9877742537da63778bf3","kindness","abstract-positive","Concrete","CV","A","abstract",1,930,6.8351845861473
"2777",2972,"466f214da9cb9877742537da63778bf3","mud","concrete-negative","Concrete","CV","A","concrete",1,622,6.43294009273918
"2778",2973,"466f214da9cb9877742537da63778bf3","stench","concrete-negative","Concrete","CV","A","concrete",1,604,6.40357419793482
"2779",2976,"466f214da9cb9877742537da63778bf3","grief","abstract-negative","Concrete","CV","A","abstract",1,1117,7.0184017990692
"2780",2977,"466f214da9cb9877742537da63778bf3","chocolate","concrete-positive","Concrete","CV","A","concrete",1,618,6.42648845745769
"2781",2978,"466f214da9cb9877742537da63778bf3","flowers","concrete-positive","Concrete","CV","A","concrete",1,552,6.31354804627709
"2782",2979,"466f214da9cb9877742537da63778bf3","rot","concrete-negative","Concrete","CV","A","concrete",1,690,6.5366915975913
"2783",2980,"466f214da9cb9877742537da63778bf3","love","abstract-positive","Concrete","CV","A","abstract",1,706,6.55961523749324
"2784",2981,"466f214da9cb9877742537da63778bf3","sunshine","concrete-positive","Concrete","CV","A","concrete",1,635,6.45362499889269
"2785",2982,"466f214da9cb9877742537da63778bf3","happiness","abstract-positive","Concrete","CV","A","abstract",1,795,6.67834211465433
"2786",2983,"466f214da9cb9877742537da63778bf3","home","concrete-positive","Concrete","CV","A","concrete",1,690,6.5366915975913
"2787",2984,"466f214da9cb9877742537da63778bf3","compassion","abstract-positive","Concrete","CV","A","abstract",1,628,6.4425401664682
"2788",2985,"466f214da9cb9877742537da63778bf3","rain","concrete-positive","Concrete","CV","A","concrete",1,647,6.4723462945009
"2789",2986,"466f214da9cb9877742537da63778bf3","shame","abstract-negative","Concrete","CV","A","abstract",1,709,6.56385552653213
"2790",2987,"466f214da9cb9877742537da63778bf3","lonliness","abstract-negative","Concrete","CV","A","abstract",1,868,6.76619171466035
"2791",2988,"466f214da9cb9877742537da63778bf3","envy","abstract-negative","Concrete","CV","A","abstract",1,745,6.61338421837956
"2792",2989,"466f214da9cb9877742537da63778bf3","guilt","abstract-negative","Concrete","CV","A","abstract",1,758,6.63068338564237
"2793",2990,"466f214da9cb9877742537da63778bf3","inspiration","abstract-positive","Concrete","CV","A","abstract",1,993,6.90073066404517
"2794",2991,"466f214da9cb9877742537da63778bf3","resentment","abstract-negative","Concrete","CV","A","abstract",1,775,6.65286302935335
"2795",2992,"466f214da9cb9877742537da63778bf3","joy","abstract-positive","Concrete","CV","A","abstract",1,583,6.36818718635049
"2796",2993,"466f214da9cb9877742537da63778bf3","rust","concrete-negative","Concrete","CV","A","concrete",1,671,6.50876913697168
"2797",2994,"466f214da9cb9877742537da63778bf3","fireplace","concrete-positive","Valence","CV","A","positive",1,1285,7.15851399732932
"2798",2995,"466f214da9cb9877742537da63778bf3","hug","concrete-positive","Valence","CV","A","positive",1,634,6.45204895443723
"2799",2996,"466f214da9cb9877742537da63778bf3","smoke","concrete-negative","Valence","CV","A","negative",1,807,6.69332366826995
"2800",2997,"466f214da9cb9877742537da63778bf3","rot","concrete-negative","Valence","CV","A","negative",1,643,6.46614472423762
"2801",2998,"466f214da9cb9877742537da63778bf3","inspiration","abstract-positive","Valence","CV","A","positive",1,793,6.67582322163485
"2802",2999,"466f214da9cb9877742537da63778bf3","injury","concrete-negative","Valence","CV","A","negative",1,1078,6.98286275146894
"2803",3000,"466f214da9cb9877742537da63778bf3","rust","concrete-negative","Valence","CV","A","negative",1,917,6.82110747225646
"2804",3001,"466f214da9cb9877742537da63778bf3","laughter","concrete-positive","Valence","CV","A","positive",1,749,6.61873898351722
"2805",3002,"466f214da9cb9877742537da63778bf3","envy","abstract-negative","Valence","CV","A","negative",1,785,6.66568371778241
"2806",3003,"466f214da9cb9877742537da63778bf3","mold","concrete-negative","Valence","CV","A","negative",1,898,6.8001700683022
"2807",3004,"466f214da9cb9877742537da63778bf3","love","abstract-positive","Valence","CV","A","positive",1,631,6.44730586254121
"2808",3005,"466f214da9cb9877742537da63778bf3","happiness","abstract-positive","Valence","CV","A","positive",1,686,6.53087762772588
"2809",3006,"466f214da9cb9877742537da63778bf3","rain","concrete-positive","Valence","CV","A","positive",1,827,6.71780469502369
"2810",3007,"466f214da9cb9877742537da63778bf3","home","concrete-positive","Valence","CV","A","positive",1,1021,6.92853781816467
"2811",3008,"466f214da9cb9877742537da63778bf3","hope","abstract-positive","Valence","CV","A","positive",1,645,6.46925031679577
"2812",3009,"466f214da9cb9877742537da63778bf3","freedom","abstract-positive","Valence","CV","A","positive",1,612,6.41673228251233
"2813",3010,"466f214da9cb9877742537da63778bf3","regret","abstract-negative","Valence","CV","A","negative",1,673,6.51174532964473
"2814",3011,"466f214da9cb9877742537da63778bf3","grief","abstract-negative","Valence","CV","A","negative",1,620,6.42971947803914
"2815",3012,"466f214da9cb9877742537da63778bf3","despair","abstract-negative","Valence","CV","A","negative",1,722,6.58202513889283
"2816",3013,"466f214da9cb9877742537da63778bf3","garbage","concrete-negative","Valence","CV","A","negative",1,930,6.8351845861473
"2817",3014,"466f214da9cb9877742537da63778bf3","shame","abstract-negative","Valence","CV","A","negative",1,773,6.65027904858742
"2818",3015,"466f214da9cb9877742537da63778bf3","peace","abstract-positive","Valence","CV","A","positive",1,757,6.62936325343745
"2819",3016,"466f214da9cb9877742537da63778bf3","compassion","abstract-positive","Valence","CV","A","positive",1,691,6.53813982376767
"2820",3017,"466f214da9cb9877742537da63778bf3","music","concrete-positive","Valence","CV","A","positive",1,865,6.76272950693188
"2821",3018,"466f214da9cb9877742537da63778bf3","joy","abstract-positive","Valence","CV","A","positive",1,605,6.40522845803084
"2822",3019,"466f214da9cb9877742537da63778bf3","sunshine","concrete-positive","Valence","CV","A","positive",1,607,6.4085287910595
"2823",3020,"466f214da9cb9877742537da63778bf3","lonliness","abstract-negative","Valence","CV","A","negative",1,747,6.61606518513282
"2824",3021,"466f214da9cb9877742537da63778bf3","chocolate","concrete-positive","Valence","CV","A","positive",1,628,6.4425401664682
"2825",3022,"466f214da9cb9877742537da63778bf3","flowers","concrete-positive","Valence","CV","A","positive",1,667,6.50279004591562
"2826",3023,"466f214da9cb9877742537da63778bf3","resentment","abstract-negative","Valence","CV","A","negative",1,1778,7.48324441607385
"2827",3024,"466f214da9cb9877742537da63778bf3","gratitude","abstract-positive","Valence","CV","A","positive",1,749,6.61873898351722
"2828",3025,"466f214da9cb9877742537da63778bf3","guilt","abstract-negative","Valence","CV","A","negative",1,722,6.58202513889283
"2829",3026,"466f214da9cb9877742537da63778bf3","kindness","abstract-positive","Valence","CV","A","positive",1,582,6.36647044773144
"2830",3027,"466f214da9cb9877742537da63778bf3","beach","concrete-positive","Valence","CV","A","positive",1,706,6.55961523749324
"2831",3028,"466f214da9cb9877742537da63778bf3","failure","abstract-negative","Valence","CV","A","negative",1,666,6.50128967054039
"2832",3029,"466f214da9cb9877742537da63778bf3","anxiety","abstract-negative","Valence","CV","A","negative",1,689,6.53524127101366
"2833",3030,"466f214da9cb9877742537da63778bf3","mud","concrete-negative","Valence","CV","A","negative",1,912,6.81563999007433
"2834",3031,"466f214da9cb9877742537da63778bf3","vomit","concrete-negative","Valence","CV","A","negative",1,681,6.52356230614951
"2835",3032,"466f214da9cb9877742537da63778bf3","stench","concrete-negative","Valence","CV","A","negative",1,665,6.49978704065585
"2836",3033,"466f214da9cb9877742537da63778bf3","filth","concrete-negative","Valence","CV","A","negative",1,621,6.43133108193348
"2837",3034,"466f214da9cb9877742537da63778bf3","resentment","abstract-negative","Valence","CV","A","negative",1,1240,7.12286665859908
"2838",3035,"466f214da9cb9877742537da63778bf3","guilt","abstract-negative","Valence","CV","A","negative",1,685,6.52941883826223
"2839",3036,"466f214da9cb9877742537da63778bf3","laughter","concrete-positive","Valence","CV","A","positive",1,659,6.49072353450251
"2840",3037,"466f214da9cb9877742537da63778bf3","anxiety","abstract-negative","Valence","CV","A","negative",1,651,6.47850964220857
"2841",3038,"466f214da9cb9877742537da63778bf3","stench","concrete-negative","Valence","CV","A","negative",1,664,6.49828214947643
"2842",3039,"466f214da9cb9877742537da63778bf3","chocolate","concrete-positive","Valence","CV","A","positive",1,572,6.3491389913798
"2843",3040,"466f214da9cb9877742537da63778bf3","peace","abstract-positive","Valence","CV","A","positive",1,582,6.36647044773144
"2844",3041,"466f214da9cb9877742537da63778bf3","rain","concrete-positive","Valence","CV","A","positive",1,632,6.44888939414686
"2845",3042,"466f214da9cb9877742537da63778bf3","kindness","abstract-positive","Valence","CV","A","positive",1,497,6.20859002609663
"2846",3043,"466f214da9cb9877742537da63778bf3","filth","concrete-negative","Valence","CV","A","negative",1,634,6.45204895443723
"2847",3044,"466f214da9cb9877742537da63778bf3","despair","abstract-negative","Valence","CV","A","negative",1,1333,7.19518732017871
"2848",3045,"466f214da9cb9877742537da63778bf3","lonliness","abstract-negative","Valence","CV","A","negative",1,1013,6.92067150424868
"2849",3046,"466f214da9cb9877742537da63778bf3","envy","abstract-negative","Valence","CV","A","negative",1,795,6.67834211465433
"2850",3047,"466f214da9cb9877742537da63778bf3","failure","abstract-negative","Valence","CV","A","negative",1,789,6.67076632084587
"2851",3048,"466f214da9cb9877742537da63778bf3","shame","abstract-negative","Valence","CV","A","negative",1,771,6.64768837356333
"2852",3049,"466f214da9cb9877742537da63778bf3","compassion","abstract-positive","Valence","CV","A","positive",1,707,6.56103066589657
"2853",3050,"466f214da9cb9877742537da63778bf3","flowers","concrete-positive","Valence","CV","A","positive",1,557,6.32256523992728
"2854",3051,"466f214da9cb9877742537da63778bf3","inspiration","abstract-positive","Valence","CV","A","positive",1,660,6.49223983502047
"2855",3052,"466f214da9cb9877742537da63778bf3","fireplace","concrete-positive","Valence","CV","A","positive",1,816,6.70441435496411
"2856",3053,"466f214da9cb9877742537da63778bf3","music","concrete-positive","Valence","CV","A","positive",1,616,6.42324696353352
"2857",3054,"466f214da9cb9877742537da63778bf3","regret","abstract-negative","Valence","CV","A","negative",1,903,6.80572255341699
"2858",3055,"466f214da9cb9877742537da63778bf3","smoke","concrete-negative","Valence","CV","A","negative",1,698,6.54821910276237
"2859",3056,"466f214da9cb9877742537da63778bf3","freedom","abstract-positive","Valence","CV","A","positive",1,774,6.65157187358973
"2860",3057,"466f214da9cb9877742537da63778bf3","beach","concrete-positive","Valence","CV","A","positive",1,615,6.42162226780652
"2861",3058,"466f214da9cb9877742537da63778bf3","rot","concrete-negative","Valence","CV","A","negative",1,877,6.77650699237218
"2862",3059,"466f214da9cb9877742537da63778bf3","hope","abstract-positive","Valence","CV","A","positive",1,769,6.64509096950564
"2863",3060,"466f214da9cb9877742537da63778bf3","mud","concrete-negative","Valence","CV","A","negative",1,1247,7.12849594568004
"2864",3061,"466f214da9cb9877742537da63778bf3","rust","concrete-negative","Valence","CV","A","negative",1,987,6.89467003943348
"2865",3062,"466f214da9cb9877742537da63778bf3","vomit","concrete-negative","Valence","CV","A","negative",1,682,6.52502965784346
"2866",3063,"466f214da9cb9877742537da63778bf3","happiness","abstract-positive","Valence","CV","A","positive",1,917,6.82110747225646
"2867",3064,"466f214da9cb9877742537da63778bf3","gratitude","abstract-positive","Valence","CV","A","positive",1,618,6.42648845745769
"2868",3065,"466f214da9cb9877742537da63778bf3","garbage","concrete-negative","Valence","CV","A","negative",1,1105,7.00760061395185
"2869",3066,"466f214da9cb9877742537da63778bf3","mold","concrete-negative","Valence","CV","A","negative",1,687,6.53233429222235
"2870",3067,"466f214da9cb9877742537da63778bf3","home","concrete-positive","Valence","CV","A","positive",1,669,6.50578406012823
"2871",3068,"466f214da9cb9877742537da63778bf3","love","abstract-positive","Valence","CV","A","positive",1,637,6.45676965557216
"2872",3069,"466f214da9cb9877742537da63778bf3","injury","concrete-negative","Valence","CV","A","negative",1,638,6.45833828334479
"2873",3070,"466f214da9cb9877742537da63778bf3","grief","abstract-negative","Valence","CV","A","negative",1,704,6.55677835615804
"2874",3071,"466f214da9cb9877742537da63778bf3","hug","concrete-positive","Valence","CV","A","positive",1,659,6.49072353450251
"2875",3072,"466f214da9cb9877742537da63778bf3","sunshine","concrete-positive","Valence","CV","A","positive",1,1165,7.0604763659998
"2876",3073,"466f214da9cb9877742537da63778bf3","joy","abstract-positive","Valence","CV","A","positive",1,619,6.4281052726846
"2877",3074,"466f214da9cb9877742537da63778bf3","inspiration","abstract-positive","Valence","CV","A","positive",1,648,6.47389069635227
"2878",3075,"466f214da9cb9877742537da63778bf3","vomit","concrete-negative","Valence","CV","A","negative",1,723,6.58340922215876
"2879",3076,"466f214da9cb9877742537da63778bf3","gratitude","abstract-positive","Valence","CV","A","positive",1,666,6.50128967054039
"2880",3077,"466f214da9cb9877742537da63778bf3","chocolate","concrete-positive","Valence","CV","A","positive",1,617,6.42486902390539
"2881",3078,"466f214da9cb9877742537da63778bf3","laughter","concrete-positive","Valence","CV","A","positive",1,652,6.48004456192665
"2882",3079,"466f214da9cb9877742537da63778bf3","anxiety","abstract-negative","Valence","CV","A","negative",1,676,6.51619307604296
"2883",3080,"466f214da9cb9877742537da63778bf3","despair","abstract-negative","Valence","CV","A","negative",1,632,6.44888939414686
"2884",3081,"466f214da9cb9877742537da63778bf3","resentment","abstract-negative","Valence","CV","A","negative",1,619,6.4281052726846
"2885",3082,"466f214da9cb9877742537da63778bf3","freedom","abstract-positive","Valence","CV","A","positive",1,562,6.33150184989369
"2886",3083,"466f214da9cb9877742537da63778bf3","mold","concrete-negative","Valence","CV","A","negative",1,644,6.46769872610435
"2887",3084,"466f214da9cb9877742537da63778bf3","beach","concrete-positive","Valence","CV","A","positive",1,561,6.3297209055227
"2888",3085,"466f214da9cb9877742537da63778bf3","happiness","abstract-positive","Valence","CV","A","positive",1,569,6.34388043412633
"2889",3086,"466f214da9cb9877742537da63778bf3","compassion","abstract-positive","Valence","CV","A","positive",1,595,6.38856140554563
"2890",3087,"466f214da9cb9877742537da63778bf3","rain","concrete-positive","Valence","CV","A","positive",1,612,6.41673228251233
"2891",3088,"466f214da9cb9877742537da63778bf3","lonliness","abstract-negative","Valence","CV","A","negative",1,787,6.6682282484174
"2892",3089,"466f214da9cb9877742537da63778bf3","filth","concrete-negative","Valence","CV","A","negative",1,598,6.39359075395063
"2893",3090,"466f214da9cb9877742537da63778bf3","hope","abstract-positive","Valence","CV","A","positive",1,634,6.45204895443723
"2894",3091,"466f214da9cb9877742537da63778bf3","mud","concrete-negative","Valence","CV","A","negative",1,672,6.51025834052315
"2895",3092,"466f214da9cb9877742537da63778bf3","flowers","concrete-positive","Valence","CV","A","positive",1,565,6.33682573114644
"2896",3093,"466f214da9cb9877742537da63778bf3","smoke","concrete-negative","Valence","CV","A","negative",1,639,6.45990445437753
"2897",3094,"466f214da9cb9877742537da63778bf3","stench","concrete-negative","Valence","CV","A","negative",1,651,6.47850964220857
"2898",3095,"466f214da9cb9877742537da63778bf3","music","concrete-positive","Valence","CV","A","positive",1,649,6.47543271670409
"2899",3096,"466f214da9cb9877742537da63778bf3","envy","abstract-negative","Valence","CV","A","negative",1,614,6.41999492814714
"2900",3097,"466f214da9cb9877742537da63778bf3","rot","concrete-negative","Valence","CV","A","negative",1,637,6.45676965557216
"2901",3098,"466f214da9cb9877742537da63778bf3","hug","concrete-positive","Valence","CV","A","positive",1,548,6.30627528694802
"2902",3099,"466f214da9cb9877742537da63778bf3","injury","concrete-negative","Valence","CV","A","negative",1,657,6.48768401848461
"2903",3100,"466f214da9cb9877742537da63778bf3","fireplace","concrete-positive","Valence","CV","A","positive",1,622,6.43294009273918
"2904",3101,"466f214da9cb9877742537da63778bf3","shame","abstract-negative","Valence","CV","A","negative",1,682,6.52502965784346
"2905",3103,"466f214da9cb9877742537da63778bf3","kindness","abstract-positive","Valence","CV","A","positive",1,685,6.52941883826223
"2906",3104,"466f214da9cb9877742537da63778bf3","love","abstract-positive","Valence","CV","A","positive",1,601,6.39859493453521
"2907",3105,"466f214da9cb9877742537da63778bf3","guilt","abstract-negative","Valence","CV","A","negative",1,1020,6.92755790627832
"2908",3106,"466f214da9cb9877742537da63778bf3","regret","abstract-negative","Valence","CV","A","negative",1,528,6.26909628370626
"2909",3107,"466f214da9cb9877742537da63778bf3","peace","abstract-positive","Valence","CV","A","positive",1,654,6.4831073514572
"2910",3108,"466f214da9cb9877742537da63778bf3","grief","abstract-negative","Valence","CV","A","negative",1,671,6.50876913697168
"2911",3109,"466f214da9cb9877742537da63778bf3","joy","abstract-positive","Valence","CV","A","positive",1,970,6.87729607149743
"2912",3110,"466f214da9cb9877742537da63778bf3","home","concrete-positive","Valence","CV","A","positive",1,581,6.36475075685191
"2913",3111,"466f214da9cb9877742537da63778bf3","garbage","concrete-negative","Valence","CV","A","negative",1,693,6.5410299991899
"2914",3112,"466f214da9cb9877742537da63778bf3","sunshine","concrete-positive","Valence","CV","A","positive",1,619,6.4281052726846
"2915",3113,"466f214da9cb9877742537da63778bf3","rust","concrete-negative","Valence","CV","A","negative",1,633,6.45047042214418
"2916",3115,"753ad0da2bb31560e4ea08f806863fee","happiness","abstract-positive","Concrete","CV","A","abstract",1,1694,7.434847875212
"2917",3116,"753ad0da2bb31560e4ea08f806863fee","chocolate","concrete-positive","Concrete","CV","A","concrete",1,1255,7.13489085156588
"2918",3117,"753ad0da2bb31560e4ea08f806863fee","guilt","abstract-negative","Concrete","CV","A","abstract",1,1142,7.04053639021596
"2919",3118,"753ad0da2bb31560e4ea08f806863fee","love","abstract-positive","Concrete","CV","A","abstract",1,1064,6.96979066990159
"2920",3120,"753ad0da2bb31560e4ea08f806863fee","flowers","concrete-positive","Concrete","CV","A","concrete",1,1104,7.00669522683704
"2921",3121,"753ad0da2bb31560e4ea08f806863fee","gratitude","abstract-positive","Concrete","CV","A","abstract",1,805,6.69084227741856
"2922",3122,"753ad0da2bb31560e4ea08f806863fee","rust","concrete-negative","Concrete","CV","A","concrete",1,842,6.73578001424233
"2923",3123,"753ad0da2bb31560e4ea08f806863fee","smoke","concrete-negative","Concrete","CV","A","concrete",1,2033,7.61726781362835
"2924",3124,"753ad0da2bb31560e4ea08f806863fee","beach","concrete-positive","Concrete","CV","A","concrete",1,1773,7.48042830607421
"2925",3126,"753ad0da2bb31560e4ea08f806863fee","lonliness","abstract-negative","Concrete","CV","A","abstract",1,721,6.58063913728495
"2926",3127,"753ad0da2bb31560e4ea08f806863fee","joy","abstract-positive","Concrete","CV","A","abstract",1,765,6.63987583382654
"2927",3128,"753ad0da2bb31560e4ea08f806863fee","rain","concrete-positive","Concrete","CV","A","concrete",1,1054,6.96034772910131
"2928",3129,"753ad0da2bb31560e4ea08f806863fee","mud","concrete-negative","Concrete","CV","A","concrete",1,870,6.76849321164863
"2929",3130,"753ad0da2bb31560e4ea08f806863fee","hope","abstract-positive","Concrete","CV","A","abstract",1,733,6.59714570188665
"2930",3131,"753ad0da2bb31560e4ea08f806863fee","inspiration","abstract-positive","Concrete","CV","A","abstract",1,846,6.74051935960622
"2931",3132,"753ad0da2bb31560e4ea08f806863fee","resentment","abstract-negative","Concrete","CV","A","abstract",1,898,6.8001700683022
"2932",3133,"753ad0da2bb31560e4ea08f806863fee","regret","abstract-negative","Concrete","CV","A","abstract",1,980,6.88755257166462
"2933",3134,"753ad0da2bb31560e4ea08f806863fee","compassion","abstract-positive","Concrete","CV","A","abstract",1,861,6.75809450442773
"2934",3136,"753ad0da2bb31560e4ea08f806863fee","peace","abstract-positive","Concrete","CV","A","abstract",1,1031,6.93828448401696
"2935",3137,"753ad0da2bb31560e4ea08f806863fee","despair","abstract-negative","Concrete","CV","A","abstract",1,781,6.66057514983969
"2936",3139,"753ad0da2bb31560e4ea08f806863fee","anxiety","abstract-negative","Concrete","CV","A","abstract",1,795,6.67834211465433
"2937",3141,"753ad0da2bb31560e4ea08f806863fee","freedom","abstract-positive","Concrete","CV","A","abstract",1,802,6.68710860786651
"2938",3143,"753ad0da2bb31560e4ea08f806863fee","grief","abstract-negative","Concrete","CV","A","abstract",1,826,6.71659477352098
"2939",3144,"753ad0da2bb31560e4ea08f806863fee","garbage","concrete-negative","Concrete","CV","A","concrete",1,1751,7.46794233228585
"2940",3147,"753ad0da2bb31560e4ea08f806863fee","mold","concrete-negative","Concrete","CV","A","concrete",1,1252,7.13249755166004
"2941",3148,"753ad0da2bb31560e4ea08f806863fee","kindness","abstract-positive","Concrete","CV","A","abstract",1,796,6.67959918584438
"2942",3149,"753ad0da2bb31560e4ea08f806863fee","fireplace","concrete-positive","Concrete","CV","A","concrete",1,924,6.82871207164168
"2943",3150,"753ad0da2bb31560e4ea08f806863fee","home","concrete-positive","Concrete","CV","A","concrete",1,1039,6.94601399109923
"2944",3151,"753ad0da2bb31560e4ea08f806863fee","shame","abstract-negative","Concrete","CV","A","abstract",1,844,6.73815249459596
"2945",3152,"753ad0da2bb31560e4ea08f806863fee","vomit","concrete-negative","Concrete","CV","A","concrete",1,1189,7.08086789669078
"2946",3153,"753ad0da2bb31560e4ea08f806863fee","failure","abstract-negative","Concrete","CV","A","abstract",1,775,6.65286302935335
"2947",3154,"753ad0da2bb31560e4ea08f806863fee","fireplace","concrete-positive","Concrete","CV","A","concrete",1,818,6.70686233660275
"2948",3155,"753ad0da2bb31560e4ea08f806863fee","freedom","abstract-positive","Concrete","CV","A","abstract",1,831,6.72262979485545
"2949",3156,"753ad0da2bb31560e4ea08f806863fee","failure","abstract-negative","Concrete","CV","A","abstract",1,853,6.74875954749168
"2950",3157,"753ad0da2bb31560e4ea08f806863fee","inspiration","abstract-positive","Concrete","CV","A","abstract",1,694,6.5424719605068
"2951",3158,"753ad0da2bb31560e4ea08f806863fee","grief","abstract-negative","Concrete","CV","A","abstract",1,696,6.54534966033442
"2952",3159,"753ad0da2bb31560e4ea08f806863fee","shame","abstract-negative","Concrete","CV","A","abstract",1,755,6.62671774924902
"2953",3160,"753ad0da2bb31560e4ea08f806863fee","flowers","concrete-positive","Concrete","CV","A","concrete",1,719,6.57786135772105
"2954",3161,"753ad0da2bb31560e4ea08f806863fee","anxiety","abstract-negative","Concrete","CV","A","abstract",1,694,6.5424719605068
"2955",3163,"753ad0da2bb31560e4ea08f806863fee","rust","concrete-negative","Concrete","CV","A","concrete",1,1078,6.98286275146894
"2956",3165,"753ad0da2bb31560e4ea08f806863fee","kindness","abstract-positive","Concrete","CV","A","abstract",1,886,6.78671695060508
"2957",3167,"753ad0da2bb31560e4ea08f806863fee","joy","abstract-positive","Concrete","CV","A","abstract",1,778,6.65672652417839
"2958",3168,"753ad0da2bb31560e4ea08f806863fee","gratitude","abstract-positive","Concrete","CV","A","abstract",1,766,6.64118216974059
"2959",3169,"753ad0da2bb31560e4ea08f806863fee","happiness","abstract-positive","Concrete","CV","A","abstract",1,656,6.48616078894409
"2960",3170,"753ad0da2bb31560e4ea08f806863fee","envy","abstract-negative","Concrete","CV","A","abstract",1,851,6.74641212857337
"2961",3171,"753ad0da2bb31560e4ea08f806863fee","rain","concrete-positive","Concrete","CV","A","concrete",1,887,6.78784498230958
"2962",3172,"753ad0da2bb31560e4ea08f806863fee","vomit","concrete-negative","Concrete","CV","A","concrete",1,1136,7.0352685992811
"2963",3173,"753ad0da2bb31560e4ea08f806863fee","peace","abstract-positive","Concrete","CV","A","abstract",1,792,6.67456139181443
"2964",3174,"753ad0da2bb31560e4ea08f806863fee","mud","concrete-negative","Concrete","CV","A","concrete",1,827,6.71780469502369
"2965",3175,"753ad0da2bb31560e4ea08f806863fee","compassion","abstract-positive","Concrete","CV","A","abstract",1,826,6.71659477352098
"2966",3177,"753ad0da2bb31560e4ea08f806863fee","smoke","concrete-negative","Concrete","CV","A","concrete",1,1338,7.19893124068817
"2967",3179,"753ad0da2bb31560e4ea08f806863fee","chocolate","concrete-positive","Concrete","CV","A","concrete",1,926,6.83087423464618
"2968",3181,"753ad0da2bb31560e4ea08f806863fee","garbage","concrete-negative","Concrete","CV","A","concrete",1,1072,6.97728134163075
"2969",3182,"753ad0da2bb31560e4ea08f806863fee","home","concrete-positive","Concrete","CV","A","concrete",1,1275,7.15070145759253
"2970",3183,"753ad0da2bb31560e4ea08f806863fee","regret","abstract-negative","Concrete","CV","A","abstract",1,917,6.82110747225646
"2971",3184,"753ad0da2bb31560e4ea08f806863fee","despair","abstract-negative","Concrete","CV","A","abstract",1,669,6.50578406012823
"2972",3186,"753ad0da2bb31560e4ea08f806863fee","love","abstract-positive","Concrete","CV","A","abstract",1,730,6.59304453414244
"2973",3187,"753ad0da2bb31560e4ea08f806863fee","hope","abstract-positive","Concrete","CV","A","abstract",1,869,6.76734312526539
"2974",3188,"753ad0da2bb31560e4ea08f806863fee","guilt","abstract-negative","Concrete","CV","A","abstract",1,936,6.84161547647759
"2975",3189,"753ad0da2bb31560e4ea08f806863fee","beach","concrete-positive","Concrete","CV","A","concrete",1,750,6.62007320653036
"2976",3191,"753ad0da2bb31560e4ea08f806863fee","resentment","abstract-negative","Concrete","CV","A","abstract",1,878,6.77764659363512
"2977",3192,"753ad0da2bb31560e4ea08f806863fee","lonliness","abstract-negative","Concrete","CV","A","abstract",1,867,6.76503897678054
"2978",3193,"753ad0da2bb31560e4ea08f806863fee","mold","concrete-negative","Concrete","CV","A","concrete",1,935,6.84054652928869
"2979",3194,"753ad0da2bb31560e4ea08f806863fee","lonliness","abstract-negative","Concrete","CV","A","abstract",1,752,6.62273632394984
"2980",3195,"753ad0da2bb31560e4ea08f806863fee","rust","concrete-negative","Concrete","CV","A","concrete",1,926,6.83087423464618
"2981",3196,"753ad0da2bb31560e4ea08f806863fee","mud","concrete-negative","Concrete","CV","A","concrete",1,902,6.80461452006262
"2982",3198,"753ad0da2bb31560e4ea08f806863fee","freedom","abstract-positive","Concrete","CV","A","abstract",1,816,6.70441435496411
"2983",3199,"753ad0da2bb31560e4ea08f806863fee","garbage","concrete-negative","Concrete","CV","A","concrete",1,1015,6.92264389147589
"2984",3200,"753ad0da2bb31560e4ea08f806863fee","joy","abstract-positive","Concrete","CV","A","abstract",1,887,6.78784498230958
"2985",3201,"753ad0da2bb31560e4ea08f806863fee","home","concrete-positive","Concrete","CV","A","concrete",1,1316,7.18235211188526
"2986",3202,"753ad0da2bb31560e4ea08f806863fee","smoke","concrete-negative","Concrete","CV","A","concrete",1,1055,6.96129604591017
"2987",3203,"753ad0da2bb31560e4ea08f806863fee","kindness","abstract-positive","Concrete","CV","A","abstract",1,747,6.61606518513282
"2988",3206,"753ad0da2bb31560e4ea08f806863fee","beach","concrete-positive","Concrete","CV","A","concrete",1,775,6.65286302935335
"2989",3207,"753ad0da2bb31560e4ea08f806863fee","shame","abstract-negative","Concrete","CV","A","abstract",1,843,6.73696695800186
